PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
1005172,6.449193,52.517921,8085774,52.52069387425,6.44569369855,Netherlands,,22-6-2010,2,5,Netherlands
1005176,6.477093,52.533838,8074978,52.53736054085,6.47902703175,Netherlands,,23-6-2010,4,5,Netherlands
1005177,6.482669,52.533418,8074978,52.53736054085,6.47902703175,Netherlands,,1-7-2010,9,5,Netherlands
1005187,6.449836,52.518338,8085774,52.52069387425,6.44569369855,Netherlands,,17-6-2010,4,5,Netherlands
1005289,4.649765,52.71605,7961358,52.71236054015,4.64569370575,Netherlands,,22-9-2011,3,5,Netherlands
1005290,4.645344,52.709713,7961358,52.71236054015,4.64569370575,Netherlands,,30-9-2011,4,5,Netherlands
1005291,4.64152,52.709213,7961357,52.71236054015,4.63736037245,Netherlands,,30-9-2011,4,5,Netherlands
1005292,4.640463,52.713916,7961357,52.71236054015,4.63736037245,Netherlands,,5-10-2011,4,5,Netherlands
1005297,4.636329,52.681311,7982957,52.67902720695,4.63736037245,Netherlands,,4-10-2011,4,5,Netherlands
1005300,4.643551,52.725556,7950558,52.72902720675,4.64569370575,Netherlands,,4-10-2011,4,5,Netherlands
1005302,4.640995,52.723553,7955957,52.72069387345,4.63736037245,Netherlands,,4-10-2011,4,5,Netherlands
1005304,4.642462,52.722565,7955958,52.72069387345,4.64569370575,Netherlands,,4-10-2011,4,5,Netherlands
1005306,4.642309,52.706306,7966758,52.70402720685,4.64569370575,Netherlands,,11-10-2011,4,5,Netherlands
1005307,4.638829,52.705592,7966757,52.70402720685,4.63736037245,Netherlands,,13-10-2011,4,5,Netherlands
1005309,4.638919,52.70118,7966757,52.70402720685,4.63736037245,Netherlands,,13-10-2011,4,5,Netherlands
1005310,4.651949,52.700551,7966759,52.70402720685,4.65402703905,Netherlands,,17-10-2011,2,5,Netherlands
1005313,5.641608,53.453101,7480878,53.45402720385,5.64569370175,Netherlands,,15-6-2010,4,5,Netherlands
1005315,5.647807,53.457625,7480878,53.45402720385,5.64569370175,Netherlands,,17-4-2010,4,5,Netherlands
1005320,5.73065,53.450472,7480888,53.45402720385,5.72902703475,Netherlands,,24-6-2010,4,5,Netherlands
1005330,6.024924,51.691826,8620324,51.69569387755,6.02902703355,Netherlands,,21-4-2011,4,5,Netherlands
1005380,6.663415,53.061818,7734800,53.06236053875,6.66236036435,Netherlands,,31-8-2008,4,5,Netherlands
1005429,4.40319,52.176156,8306929,52.17902720895,4.40402704005,Netherlands,,13-6-2008,4,5,Netherlands
1005438,3.863643,51.811552,8544464,51.81236054375,3.86236037555,Netherlands,,14-6-1994,4,10,Netherlands
1005439,3.863691,51.811858,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005440,3.863048,51.811994,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,4,10,Netherlands
1005441,3.863044,51.811697,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005442,3.863286,51.812266,8544464,51.81236054375,3.86236037555,Netherlands,,14-6-1994,4,5,Netherlands
1005443,3.863286,51.812266,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,4,5,Netherlands
1005444,3.863284,51.812302,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005445,3.864187,51.812638,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,4,10,Netherlands
1005446,3.863492,51.812602,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005450,3.863885,51.812553,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,4,5,Netherlands
1005451,3.863885,51.812553,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005453,3.863649,51.811372,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,4,10,Netherlands
1005455,3.863643,51.81157,8544464,51.81236054375,3.86236037555,Netherlands,,4-6-2003,4,5,Netherlands
1005456,3.861611,51.811615,8544464,51.81236054375,3.86236037555,Netherlands,,16-6-2000,6,10,Netherlands
1005458,3.862817,51.813699,8544464,51.81236054375,3.86236037555,Netherlands,,14-6-1994,4,5,Netherlands
1005465,3.873486,51.816444,8544465,51.81236054375,3.87069370885,Netherlands,,15-6-2000,4,10,Netherlands
1005466,3.873253,51.816486,8544465,51.81236054375,3.87069370885,Netherlands,,23-6-2003,4,5,Netherlands
1005467,3.873483,51.816534,8539065,51.82069387705,3.87069370885,Netherlands,,15-6-2000,4,10,Netherlands
1005468,3.873146,51.816655,8539065,51.82069387705,3.87069370885,Netherlands,,23-6-2003,4,5,Netherlands
1005469,3.871469,51.816058,8544465,51.81236054375,3.87069370885,Netherlands,,15-6-2000,4,10,Netherlands
1005470,3.871496,51.816112,8544465,51.81236054375,3.87069370885,Netherlands,,23-6-2003,4,5,Netherlands
1005472,3.871734,51.816358,8544465,51.81236054375,3.87069370885,Netherlands,,23-6-2003,4,5,Netherlands
