PlotID,Bio15,CWD,Bio5,Soil_ORC,Soil_CEC,Soil_PH
983807,1.34242268082221,423.983985237999,201,1.40010607042855,1.15760785336167,70.73125
983808,1.34242268082221,423.983985237999,201,1.40010607042855,1.15760785336167,70.73125
983809,1.34242268082221,423.994309343432,201,1.41923269888207,1.195726730057,74.425
983810,1.34242268082221,426.205152161252,201,1.39587219492817,1.16565230594104,71.18125
983811,1.34242268082221,423.994309343432,201,1.41923269888207,1.195726730057,74.425
983813,1.34242268082221,434.404958757121,202,1.69207542779829,1.19641800673602,62.29375
983838,1.14612803567824,575.67650268527,217,1.55953258790861,1.14883392905416,53.71875
984677,1.43136376415899,395.534866641039,195,1.4224256763712,1.19659065411731,67.2
984678,1.43136376415899,392.052409766203,195,1.4283373095288,1.17482271595751,64.9875
984682,1.43136376415899,400.240525356989,196,1.59182951624688,1.26673134187019,71.375
984683,1.43136376415899,400.240525356989,196,1.59182951624688,1.26673134187019,71.375
984692,1.43136376415899,400.240525356989,196,1.59182951624688,1.26673134187019,71.375
984693,1.43136376415899,391.010901897989,195,1.46917745710371,1.18716806593937,66.1625
984695,1.43136376415899,400.240525356989,196,1.59182951624688,1.26673134187019,71.375
984696,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
984698,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
984699,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
984701,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
984702,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
984704,1.43136376415899,400.240525356989,196,1.59182951624688,1.26673134187019,71.375
984710,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
984711,1.41497334797082,407.587349018232,197,1.48625332426013,1.23929947912689,68.575
984714,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
984722,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
984728,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
984729,1.41497334797082,411.684057120439,197,1.41819767817792,1.20749972330731,64.95625
984730,1.41497334797082,416.366850299952,197,1.54043375969518,1.24324480635833,67.8083333333333
984731,1.41497334797082,416.366850299952,197,1.54043375969518,1.24324480635833,67.8083333333333
984735,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
984736,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
984742,1.41497334797082,416.366850299952,197,1.54043375969518,1.24324480635833,67.8083333333333
984748,1.41497334797082,416.366850299952,197,1.54043375969518,1.24324480635833,67.8083333333333
984759,1.41497334797082,415.413454219788,197,1.56422207598861,1.21781283062258,69.2
984765,1.41497334797082,416.624901048223,198,1.4307601581106,1.14921911265538,70.0875
984766,1.41497334797082,416.624901048223,198,1.4307601581106,1.14921911265538,70.0875
984768,1.41497334797082,416.624901048223,198,1.4307601581106,1.14921911265538,70.0875
984769,1.41497334797082,416.624901048223,198,1.4307601581106,1.14921911265538,70.0875
984771,1.41497334797082,416.624901048223,198,1.4307601581106,1.14921911265538,70.0875
984780,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984781,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984783,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984784,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984785,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984789,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
984794,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
984795,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
984799,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
984801,1.41497334797082,427.811924291111,198,1.42528961644679,1.17753649992986,67.6625
984805,1.41497334797082,427.811924291111,198,1.42528961644679,1.17753649992986,67.6625
984810,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984823,1.41497334797082,429.496100877635,199,1.45914108718382,1.25042000230889,70.2333333333333
984824,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984825,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984826,1.41497334797082,429.496100877635,199,1.45914108718382,1.25042000230889,70.2333333333333
984827,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984828,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984829,1.41497334797082,429.496100877635,199,1.45914108718382,1.25042000230889,70.2333333333333
984830,1.41497334797082,425.39208171972,199,1.45570117539978,1.18804916683381,66.03125
984831,1.41497334797082,429.496100877635,199,1.45914108718382,1.25042000230889,70.2333333333333
984834,1.41497334797082,429.496100877635,199,1.45914108718382,1.25042000230889,70.2333333333333
984839,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984840,1.41497334797082,430.64808938848,199,1.51703086109376,1.25647720624168,70.65625
984841,1.41497334797082,430.64808938848,199,1.51703086109376,1.25647720624168,70.65625
984848,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984849,1.39794000867204,427.613547639964,199,1.48916717434973,1.18291371862644,64.96875
984850,1.41497334797082,434.434090136098,199,1.46482475180181,1.20951501454263,70.2
984853,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984856,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984859,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984862,1.39794000867204,429.310036014028,199,1.47239072762663,1.19951520713462,68.58125
984868,1.39794000867204,427.613547639964,199,1.48916717434973,1.18291371862644,64.96875
984869,1.39794000867204,427.613547639964,199,1.48916717434973,1.18291371862644,64.96875
984870,1.41497334797082,425.39208171972,199,1.45570117539978,1.18804916683381,66.03125
984871,1.39794000867204,427.613547639964,199,1.48916717434973,1.18291371862644,64.96875
984883,1.41497334797082,425.39208171972,199,1.45570117539978,1.18804916683381,66.03125
984884,1.41497334797082,425.39208171972,199,1.45570117539978,1.18804916683381,66.03125
984892,1.39794000867204,424.778459140709,199,1.40129281549713,1.17336840072021,66.3125
984905,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984906,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984907,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984908,1.41497334797082,427.811924291111,198,1.42528961644679,1.17753649992986,67.6625
984909,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984910,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984911,1.41497334797082,425.771940001677,198,1.4661258704182,1.14437958762791,64.86875
984915,1.39794000867204,426.714824021106,198,1.54854296046505,1.12811643283552,61.74375
984920,1.41497334797082,427.811924291111,198,1.42528961644679,1.17753649992986,67.6625
984922,1.39794000867204,426.132858820495,198,1.38269228678745,1.13751235312213,67.91875
984924,1.39794000867204,426.132858820495,198,1.38269228678745,1.13751235312213,67.91875
984934,1.39794000867204,426.132858820495,198,1.38269228678745,1.13751235312213,67.91875
984938,1.41497334797082,428.761653620425,198,1.43486817668776,1.10101633628771,65.1375
984939,1.39794000867204,426.132858820495,198,1.38269228678745,1.13751235312213,67.91875
984941,1.39794000867204,426.132858820495,198,1.38269228678745,1.13751235312213,67.91875
984943,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984944,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984948,1.41497334797082,426.059624064882,198,1.29184041222578,1.1168566946869,69.40625
984954,1.41497334797082,423.173445310321,198,1.3797586158427,1.09451480046851,66.4125
984959,1.41497334797082,413.379781184884,197,1.4577873101101,1.17807722772153,65.2625
984964,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
984969,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
984971,1.41497334797082,413.264911679449,197,1.43035728750481,1.14496318612367,61.93125
984972,1.41497334797082,413.264911679449,197,1.43035728750481,1.14496318612367,61.93125
984975,1.41497334797082,413.264911679449,197,1.43035728750481,1.14496318612367,61.93125
984986,1.41497334797082,409.268023348677,197,1.42416674843359,1.12221587827283,62.88125
984987,1.41497334797082,409.268023348677,197,1.42416674843359,1.12221587827283,62.88125
984991,1.41497334797082,407.587349018232,197,1.48625332426013,1.23929947912689,68.575
984992,1.41497334797082,407.587349018232,197,1.48625332426013,1.23929947912689,68.575
984993,1.41497334797082,407.587349018232,197,1.48625332426013,1.23929947912689,68.575
984994,1.41497334797082,407.091143548792,196,1.4308608173953,1.11373450667554,63.90625
985005,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985006,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985007,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985010,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985011,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985016,1.43136376415899,391.010901897989,195,1.46917745710371,1.18716806593937,66.1625
985018,1.43136376415899,391.010901897989,195,1.46917745710371,1.18716806593937,66.1625
985020,1.43136376415899,390.38503072932,195,1.46926959553238,1.12323895173041,60.825
985021,1.43136376415899,390.38503072932,195,1.46926959553238,1.12323895173041,60.825
985022,1.41497334797082,397.273726746601,196,1.47712125471966,1.18892848376085,67.08125
985023,1.43136376415899,390.38503072932,195,1.46926959553238,1.12323895173041,60.825
985025,1.41497334797082,394.226187853309,195,1.47229924906244,1.10401739598211,61.9875
985026,1.41497334797082,394.226187853309,195,1.47229924906244,1.10401739598211,61.9875
985027,1.43136376415899,390.38503072932,195,1.46926959553238,1.12323895173041,60.825
985032,1.43136376415899,391.010901897989,195,1.46917745710371,1.18716806593937,66.1625
985035,1.43136376415899,391.010901897989,195,1.46917745710371,1.18716806593937,66.1625
985036,1.43136376415899,389.598091992827,195,1.45541592449829,1.12811643283552,60.15625
985040,1.43136376415899,389.598091992827,195,1.45541592449829,1.12811643283552,60.15625
985044,1.41497334797082,392.273639133489,195,1.51129833993913,1.08300963806319,57.075
985046,1.41497334797082,394.467138188756,195,1.503875763767,1.09144711730655,58.475
985048,1.43136376415899,389.598091992827,195,1.45541592449829,1.12811643283552,60.15625
